Month,MonthlyReturn,CumulativeReturn
2024-01,0.005294186190408778,0.005294186190408778
2024-02,0.029385590891975122,0.034835349871881194
2024-03,0.027768948967429097,0.06357163989216508
2024-04,-0.029287698594868794,0.03242207426895294
2024-05,0.03482783023298852,0.06837909500038197
2024-06,0.019637470756028064,0.08935935823480379
2024-07,0.009890679992290652,0.10013386304371141
2024-08,0.013076805131104097,0.11452009918886286
2024-09,0.019308972938436586,0.13604033762344425
2024-10,-0.022028117702611816,0.11101550735136012
2024-11,0.019947250911417802,0.13317721244297376
2024-12,-0.0164638978308016,0.11452069859311997
