Month,PortfolioWeights,GrossMonthlyReturn,TransactionCost,NetMonthlyReturn,CumulativeReturn
2016-01,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",-0.05517534604868779,0.003,-0.05817534604868779,-0.05817534604868779
2016-02,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.03602643679871409,0.006,-0.04202643679871409,-0.09775688034344343
2016-03,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.06792973951047743,0.006,0.06192973951047743,-0.04188119896799236
2016-04,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.0025719973100626348,0.006,-0.0034280026899373654,-0.04516563279520969
2016-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.0001571437566503242,0.0,0.0001571437566503242,-0.045015586535768315
2016-06,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.004932037083720919,0.006,-0.0010679629162790808,-0.04603547447497269
2016-07,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",-0.06835099282615564,0.006,-0.07435099282615565,-0.11696368406869095
2016-08,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.0013287067157776722,0.006,-0.004671293284222328,-0.12108860568102531
2016-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.044254570003945615,0.006,0.038254570003945616,-0.08746622821978467
2016-10,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.007406805271736205,0.006,-0.013406805271736206,-0.09970039080192494
2016-11,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.0025957004885179824,0.006,-0.0034042995114820177,-0.1027652803217054
2016-12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.04194887976417494,0.006,0.03594887976417494,-0.07051069726374715
2017-01,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.018767919442509218,0.006,0.012767919442509218,-0.0586430527237366
2017-02,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.012021188350065382,0.006,0.006021188350065381,-0.0529749652395437
2017-03,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",-0.0004944650775187132,0.006,-0.006494465077518713,-0.05912538625533148
2017-04,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.024715918915212853,0.006,0.018715918915212855,-0.0415160532751041
2017-05,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.035789201032982776,0.0,0.035789201032982776,-0.007212678618880086
2017-06,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.003330781480969991,0.0,0.003330781480969991,-0.0039059209942819972
2017-07,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.041511665223058936,0.006,0.03551166522305894,0.031467038470040176
2017-08,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.0009791370127333332,0.006,-0.006979137012733333,0.02426828868443942
2017-09,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.0245387171615139,0.006,0.018538717161513903,0.043256908785868076
2017-10,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.021820208216768,0.0,0.021820208216768,0.06602099175915743
2017-11,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.014747333904700621,0.006,0.008747333904700621,0.07534583332349487
2017-12,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.011744071481921026,0.006,0.0057440714819210256,0.08152269665789103
2018-01,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.056748916384762094,0.006,0.050748916384762095,0.13640880155880475
2018-02,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",-0.02846048127180756,0.006,-0.03446048127180756,0.09724760733557036
2018-03,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",-0.02582366826693694,0.006,-0.03182366826693694,0.06232916347303297
2018-04,"[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.027189141157186292,0.006,-0.03318914115718629,0.027071370911130765
2018-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.027264212977756053,0.006,0.021264212977756054,0.04891123528554098
2018-06,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.0010467801615650085,0.006,-0.004953219838434992,0.043715747346167344
2018-07,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.02893583194406868,0.006,0.02293583194406868,0.06765423632467704
2018-08,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.03456762159989757,0.006,0.02856762159989757,0.09815457854752796
2018-09,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010023554827846448,0.006,0.004023554827846448,0.10257306370376451
2018-10,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.08815235248662012,0.006,-0.09415235248662013,-0.0012367840323249668
2018-11,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.008684654797699976,0.0,0.008684654797699976,0.0074371297229949285
2018-12,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",-0.07612251433779982,0.0,-0.07612251433779982,-0.06925151762877568
2019-01,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0.07327515948689878,0.006,0.06727515948689877,-0.006635265035062621
2019-02,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0.028841049844133382,0.006,0.022841049844133383,0.01605422838967585
2019-03,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0.014792781669281663,0.006,0.008792781669281663,0.024988171384056734
2019-04,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.029519967849829465,0.006,0.023519967849829466,0.04909586022146528
2019-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",-0.05849080240441107,0.006,-0.06449080240441107,-0.018561173603362846
2019-06,"[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.04397274199908052,0.006,0.037972741999080524,0.018706749739276995
2019-07,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0.0018489087098190193,0.006,-0.004151091290180981,0.014478005023185636
